,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
17,7421,Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,1996.0,Role-Playing,Seta Corporation,0.0,0.0,0.2,0.01,0.21
18,14742,La Pucelle: Ragnarok,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.0,ï¿½0.00,0.03,0.0,0.03
19,3901,Virtual Pool,PS,1997.0,Sprots,Interplay,0.28,ï¿½0.19,0.0,0.03,0.51
20,15085,Prison Architect,PS4,2016.0,Action,Introversion Software,0.01,0.01,0.0,0.0,0.02
21,558,Madden NFL 11,X360,2010.0,Sprots,Electronic Arts,2.38,0.12,0.0,0.18,2.69
22,4695,Tom Clancy's Rainbow Six: Lockdown,XB,2005.0,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41
23,3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66
24,15269,Shiratsuyu no Kai,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
25,16143rd,BlazBlue: Calamity Trigger,PC,2010.0,Fighting,PQube,0.0,ï¿½0.01,0.0,0.0,0.01
26,11615,Bleach: Heat the Soul 7,PSP,2010.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08
27,9136,Spyro: A Hero's Tail,XB,2004.0,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.14
28,11908,Tom Clancy's Splinter Cell: Chaos Theory,DS,2005.0,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07
29,11942,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005.0,Misc,505 Games,0.07,ï¿½0.00,0.0,0.0,0.07
30,4002,Tony Hawk's Underground 2,GC,Unknown,Sprots,Activision,0.38,0.1,0.0,0.01,0.5
31,12213,MotorStorm RC,PSV,2012.0,Racing,Sony Computer Entertainment,0.0,ï¿½0.05,0.0,0.02,0.07
32,6323,RalliSport Challenge 2,XB,2004.0,Racing,Microsoft Game Studios,0.18,ï¿½0.08,0.0,0.01,0.27
33,12709th,Mayhem 3D,PS3,2011.0,Racing,Evolved Games,0.05,ï¿½0.00,0.0,0.01,0.06
34,6109,Monster 4x4: Masters of Metal,PS2,2003.0,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28
35,15167,Evolution Snowboarding,PS2,2002.0,Sprots,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
36,6594,Silent Hunter 5: Battle of the Atlantic,PC,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.26
37,3254,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62
38,4952,Chessmaster,PS2,2003.0,Misc,Ubisoft,0.19,0.15,0.0,0.05,0.39
39,8857,White Knight Chronicles: Origins,PSP,2011.0,Role-Playing,Sony Computer Entertainment,0.0,0.04,0.09,0.02,0.15
40,7780,Disgaea DS,DS,2008.0,Role-Playing,Square Enix,0.11,0.02,0.05,0.01,0.19
41,3590,Tony Hawk's Proving Ground,X360,2007.0,Sprots,Activision,0.49,ï¿½0.02,0.0,0.04,0.56
42,9891,ArmA III,PC,2013.0,Shooter,Bohemia Interactive,0.0,ï¿½0.10,0.0,0.02,0.12
43,13920,Rodea the Sky Soldier,3DS,2015.0,Action,Nippon Ichi Software,5000.0,0.0,0.0,0.0,9999.0
44,12524,Tokyo Xtreme Racer Advance,GBA,2005.0,Racing,Crave Entertainment,0.04,0.02,0.0,0.0,0.06
45,9745,Lunar: Dragon Song,DS,2005.0,Role-Playing,Rising Star Games,0.11,0.0,0.0,0.01,0.12
46,3380,Asphalt: Urban GT,DS,2004.0,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6
47,3169,Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.26,ï¿½0.20,0.09,0.1,0.64
48,11456th,Horrid Henry's Horrid Adventure,DS,2010.0,Adventure,Asylum Entertainment,0.0,0.07,0.0,0.01,0.08
49,9480,Summon Night: Twin Age,DS,2007.0,Role-Playing,Banpresto,0.07,0.0,0.05,0.01,0.13
50,6672,WipEout Fusion,PS2,2002.0,Racing,PERROSANXE,0.12,ï¿½0.10,0.0,0.03,0.25
51,1066,WCW vs. nWo: World Tour,N64,1997.0,Fighting,THQ,1.37,0.28,0.03,0.02,1.69
52,7057,Cabela's Outdoor Adventures (2009),PS3,2009.0,Sprots,Activision Value,0.21,ï¿½0.00,0.0,0.02,0.23
53,15683,Eyeshield 21: Portable Edition,PSP,2006.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
54,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
55,2350,Wii Fit U,WiiU,2013.0,Sprots,Nintendo,0.39,0.24,0.21,0.06,0.89
56,15366,Chicago Enforcer,XB,2005.0,Shooter,Kemco,0.02,ï¿½0.00,0.0,0.0,0.02
57,1210,Dï¿½ad Rising 3,XOne,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
58,13010,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998.0,Action,Swing! Entertainment,0.03,0.02,0.0,0.0,0.05
59,15544,Legendary,PC,2008.0,Shooter,Atari,0.0,0.01,0.0,0.0,0.02
60,15912,Kao the Kangaroo Round 2,PS2,2005.0,Platform,JoWood Productions,0.01,ï¿½0.01,0.0,0.0,0.02
61,13312,Kakuto Chojin,XB,2002.0,Fighting,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05
62,13701,Gitaroo Man Lives!,PSP,2006.0,Misc,Tecmo Koei,0.03,0.0,0.0,0.0,0.04
63,6183,Sing Party,WiiU,2012.0,Misc,Nintendo,0.13,0.12,0.0,0.02,0.28
64,15881,Dance! It's Your Stage,Wii,,Misc,DTP Entertainment,0.0,ï¿½0.01,0.0,0.0,0.02
65,4169,Silent Hill: Downpour,PS3,2012.0,Action,Konami Digital Entertainment,0.21,ï¿½0.16,0.04,0.06,0.47
66,14748,ParaParaParadise,PS2,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
67,13291,Cesar Millan's Dog Whisperer,DS,2050.0,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.05
68,10261,Classic Road,SNES,1993.0,Sprots,Victor Interactive,0.0,0.0,0.11,0.0,0.11
69,8535,Ready 2 Rumble Revolution,Wii,2009.0,Sprots,Atari,0.15,0.0,0.0,0.01,0.16
70,1433,Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,0.82,ï¿½0.42,0.0,0.11,1.36
71,13864,A Ressha de Ikou DS,DS,2009.0,Simulation,PERROSANXE,0.0,ï¿½0.00,0.04,0.0,0.04
72,11931,Haunting Ground,PS2,2005.0,Action,Capcom,0.03,0.03,0.0,0.01,0.07
73,1407,Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.46,ï¿½0.34,0.38,0.21,1.38
74,15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,2011.0,Strategy,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
75,8127,Transformers: Dark of the Moon,Wii,2011.0,Action,Activision,0.1,ï¿½0.07,0.0,0.02,0.18
76,11111th,The Mummy: Tomb of the Dragon Emperor,DS,2008.0,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.09
77,13344,Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008.0,Role-Playing,Square Enix,0.0,0.0,0.05,0.0,0.05
78,13641,Amnesia,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
79,8423,Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17
80,15287,Don Bradman Cricket 14,PS3,2014.0,Sprots,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02
81,1168,LEGO Harry Potter: Years 1-4,X360,2010.0,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0.0,0.14,1.59
82,11526,Sentimental Graffiti: First Window,SAT,1997.0,Adventure,FRIJOL,0.0,0.0,0.08,0.0,0.08
83,10774,Dead or Alive 5,PSV,2013.0,Fighting,Tecmo Koei,0.0,0.05,0.03,0.02,0.1
84,2518,Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82
85,1134,Just Cause 2,X360,2010.0,Action,Square Enix,0.59,ï¿½0.85,0.02,0.17,1.62
86,4688,Sega Rally Championship 2,DC,1999.0,Racing,Sega,0.0,0.0,0.41,0.0,0.41
87,9469,The Oregon Trail,3DS,2011.0,Simulation,Crave Entertainment,0.12,0.0,0.0,0.01,0.13
88,1268,Disney Sing It: Pop Hits,Wii,2009.0,Misc,Disney Interactive Studios,1.08,0.28,0.0,0.13,1.49
89,9264,Alone in the Dark: Inferno,PS3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,0.14
90,3245th,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,ï¿½0.13,0.29,0.04,0.62
91,15773,Moujuutsukai to Oujisama,PS2,2010.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
92,11976,Harry Potter and the Sorcerer's Stone,XB,2003.0,Action,Electronic Arts,0.05,0.02,0.0,0.0,0.07
93,13122,Arx Fatalis,XB,2003.0,Role-Playing,Mindscape,0.04,0.01,0.0,0.0,0.05
94,8694,The Walking Dead: Season One,XOne,2014.0,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16
95,7651,Pro Yaky? Spirits 2013,PS3,Unknown,Sprots,,0.0,0.0,0.2,0.0,0.2
96,1090,Star Wars: Battlefront II,XB,2005.0,Shooter,Activision,1.22,0.39,0.0,0.06,1.67
97,3104th,Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65
98,12659,Myst III: Exile,XB,2002.0,Adventure,Ubisoft,0.04,0.01,0.0,0.0,0.06
99,7826,Tokimeki Memorial Girl's Side 3rd Story,DS,2010.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
100,7532,Midnight Club 3: DUB Edition Remix,XB,2006.0,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2
101,14588th,DICE: DNA Integrated Cybernetic Enterprises,PS2,2005.0,Shooter,Namco Bandai Games,0.01,0.01,0.0,0.0,0.03
102,15504,Dreamer Series: Horse Trainer,DS,2008.0,Simulation,DreamCatcher Interactive,0.02,0.0,0.0,0.0,0.02
103,8257,Gretzky NHL 2005,PS2,2004.0,Sprots,Sony Computer Entertainment,0.08,ï¿½0.07,0.0,0.02,0.17
104,7983,La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,ï¿½0.07,0.0,0.02,0.19
105,15486,Aoishiro,PS2,2008.0,Adventure,Success,0.0,0.0,0.02,0.0,0.02
106,5634,Kirby's Block Ball,GB,1995.0,Puzzle,Nintendo,0.0,0.0,0.32,0.0,0.32
107,1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2050.0,Sprots,Sega,5000.0,0.64,0.27,0.1,9999.0
108,6934,G.I. Joe: The Rise of Cobra,X360,2009.0,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24
109,11779,Gladius,GC,2003.0,Strategy,Activision,0.06,0.01,0.0,0.0,0.07
110,16246th,Mahjong Taikai IV,PS3,2006.0,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
111,3568,The Lord of the Rings: The Return of the King,GBA,2003.0,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56
112,1491st,TOCA 2: Touring Cars,PS,1998.0,Racing,Codemasters,0.03,ï¿½1.16,0.02,0.11,1.32
113,11554th,Just Dance: Disney Party 2,WiiU,2015.0,Action,Ubisoft,0.06,ï¿½0.01,0.0,0.01,0.08
114,5553,NBA Live 96,PS,1996.0,Sprots,Electronic Arts,0.16,0.11,0.04,0.02,0.33
115,551,Call of Duty 3,X360,2050.0,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
116,14442,Transformers: Devastation,PC,2015.0,Action,Activision,0.0,ï¿½0.03,0.0,0.0,0.03
117,2270,Starsky & Hutch,PS2,2003.0,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92
118,8456th,Project X Zone 2: Brave New World,3DS,2015.0,Role-Playing,Namco Bandai Games,0.04,0.04,0.08,0.01,0.17
119,6729,Imagine: Zookeeper,DS,2009.0,Simulation,Ubisoft,0.16,ï¿½0.06,0.0,0.02,0.25
120,12340,Bionicle Heroes,DS,2006.0,Shooter,Eidos Interactive,0.06,0.0,0.0,0.0,0.06
121,431st,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
122,4418,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005.0,Misc,THQ,0.37,ï¿½0.01,0.0,0.06,0.44
123,16491,Bomberman,Wii,2008.0,Puzzle,PERROSANXE,0.0,0.0,0.01,0.0,0.01
124,13310,V-Rally 3,GBA,2002.0,Racing,Atari,0.03,10.0,0.0,0.0,0.05
125,12569,Oddworld: Munch's Oddysee,GBA,2003.0,Platform,THQ,0.04,0.02,0.0,0.0,0.06
126,12844th,Xiaolin Showdown,DS,2006.0,Action,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.05
127,1802,Need for Speed Underground 2,GC,2004.0,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
128,6593,All-Star Basï¿½ball 2003,XB,2002.0,Sprots,Acclaim Entertainment,0.19,ï¿½0.06,0.0,0.01,0.26
129,7275,Naruto: Ninja Council,GBA,2003.0,Action,Tomy Corporation,0.16,ï¿½0.06,0.0,0.0,0.22
130,1132,NBA 2K15,X360,2014.0,Sprots,Take-Two Interactive,1.33,0.14,0.0,0.15,1.63
131,1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
132,13570,True Love Story 3,PS2,2001.0,Simulation,Enterbrain,0.0,0.0,0.04,0.0,0.04
133,6448,"Barbie: Jet, Set & Style!",Wii,2011.0,Misc,THQ,0.23,0.01,0.0,0.02,0.26
134,14661st,Kamigami no Asobi,PSP,2013.0,Adventure,Broccoli,0.0,0.0,0.03,0.0,0.03
135,645,Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,0.69,0.0,0.04,1.68,2.41
136,15864,Arcana Famiglia 2,PSP,2013.0,Adventure,Comfort,0.0,0.0,0.02,0.0,0.02
137,8349,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008.0,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.02,0.17
138,5672,The Conveni: Ano Machi wo Dokusen Seyo,PS,1997.0,Simulation,Human Entertainment,0.0,ï¿½0.00,0.3,0.02,0.32
139,7834th,Farming Simulator 2015,XOne,2015.0,Simulation,Koch Media,0.1,0.07,0.0,0.02,0.19
140,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sprots,Sega,2.58,3.9,0.66,0.91,8.06
141,3065,NHL 10,X360,2009.0,Sprots,Electronic Arts,0.51,0.1,0.0,0.06,0.66
142,13971,Garfield: The Search for Pooky,GBA,2050.0,Platform,Game Factory,0.03,0.01,0.0,0.0,0.04
143,1215,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54
144,6275th,Motocross Maniacs Advance,GBA,2002.0,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27
145,6161,Sly Cooper: Thieves in Time,PSV,2013.0,Platform,Sony Computer Entertainment Europe,0.16,ï¿½0.06,0.0,0.05,0.28
146,6705,Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006.0,Role-Playing,Nintendo,0.0,ï¿½10.00,0.24,0.0,0.25
147,10200,FlatOut: Ultimate Carnage,X360,2007.0,Racing,Empire Interactive,0.07,0.03,0.0,0.01,0.11
148,7230,Tales of Graces,Wii,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
149,2793,Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74
150,6318,Flag Capture,2600,,Action,Atari,0.25,0.02,0.0,0.0,0.27
151,1474,WWF War Zone,N64,1998.0,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33
152,5840,Shrï¿½k the Third,DS,,Action,Activision,0.26,ï¿½0.02,0.0,0.02,0.3
153,7019,Hannah Montana: The Movie,PS3,2009.0,Adventure,Disney Interactive Studios,0.14,ï¿½0.06,0.0,0.03,0.23
154,12164,Batman: Rise of Sin Tzu,GBA,2003.0,Action,Ubisoft,0.05,0.02,0.0,0.0,0.07
155,5744,Armored Core: Silent Line,PS2,2003.0,Simulation,Agetec,0.07,ï¿½0.06,0.16,0.02,0.31
156,15168,Jissen Pachinko Hisshouhou! CR Sakura Taisen,PS2,2007.0,Misc,Sega,0.0,0.0,0.02,0.0,0.02
157,14263,Suujin Taisen,DS,2007.0,Strategy,Nintendo,0.0,ï¿½0.00,0.03,0.0,0.03
158,10562,Yaiba: Ninja Gaiden Z,PS3,Unknown,Action,Tecmo Koei,0.05,ï¿½0.04,0.0,0.02,0.1
159,6278,M&M's Blast!,GBA,2001.0,Puzzle,Unknown,0.2,ï¿½0.07,0.0,0.0,0.27
160,12196th,Armored Core: Nine Breaker,PS2,2004.0,Simulation,505 Games,0.03,0.03,0.0,0.01,0.07
161,15295,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016.0,Adventure,5pb,0.0,ï¿½0.00,0.02,0.0,0.02
162,4631st,MLB 08: The Show,PS2,2008.0,Sprots,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42
163,1557,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,Nintendo,0.44,ï¿½0.30,0.47,0.06,1.27
164,11343,Tokimeki Memorial: Girl's Side,PS2,2002.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08
165,4079,Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.12,230.0,0.07,0.07,0.49
166,13547,Gï¿½ Go Ackman 3,SNES,1995.0,Platform,Banpresto,0.0,ï¿½0.00,0.04,0.0,0.04
167,2573,Final Fantasy Anthology,PS,1999.0,Role-Playing,PERROSANXE,0.45,0.3,0.0,0.05,0.8
168,7678,Sid Meier's Pirates!,PSP,2007.0,Strategy,Take-Two Interactive,0.16,0.01,0.0,0.02,0.2
169,8892,Winning Post 4,PS,1999.0,Sprots,Tecmo Koei,0.0,ï¿½0.00,0.14,0.01,0.15
170,9977,Wipeout 2,PS3,2050.0,Misc,FACHOESFERA,0.11,0.0,0.0,0.01,0.12
171,3815,Go Diego Go! Safari Rescue,Wii,2008.0,Action,Take-Two Interactive,0.48,0.01,0.0,0.04,0.53
172,4375,Persona,PS,1995.0,Role-Playing,Atlus,0.0,0.0,0.42,0.03,0.45
173,3713,Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.54
174,9707,NHL 2002,GBA,2002.0,Sprots,Electronic Arts,0.09,ï¿½0.03,0.0,0.0,0.12
175,9658,Actua Tennis,PS,1997.0,Sprots,FACHOESFERA,0.07,ï¿½0.05,0.0,0.01,0.13
176,2478,Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
177,1141,Pokemon Battle Revolution,Wii,2006.0,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61
178,12832,NHL Legacy,X360,2015.0,Action,Electronic Arts,0.05,0.0,0.0,0.01,0.05
179,8417,Far East of Eden II: Manji Maru,PS2,2003.0,Role-Playing,Hudson Soft,0.0,0.0,0.17,0.0,0.17
180,680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,ï¿½0.70,0.34,0.21,2.34
181,6170,Surf's Up,DS,2007.0,Sprots,Ubisoft,0.26,0.0,0.0,0.02,0.28
182,2549th,Mega Man,NES,1987.0,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
183,4222,Godzilla: Save the Earth,PS2,2004.0,Fighting,Atari,0.23,0.18,0.0,0.06,0.47
184,16551,Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
185,14687,Safari Adventures: Africa,DS,2008.0,Adventure,Neko Entertainment,0.03,ï¿½0.00,0.0,0.0,0.03
186,3096,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0.38,0.22,0.0,0.06,0.65
187,2015,MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03
188,16035,Shinobi Koutsutsu,PSP,2014.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
189,8244,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009.0,Role-Playing,Square Enix,0.0,ï¿½0.00,0.17,0.0,0.17
190,7730,Demon Gaze,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.06,ï¿½0.03,0.08,0.02,0.2
191,10730,Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.05,ï¿½0.04,0.0,0.01,0.1
192,718th,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,ï¿½0.25,0.46,0.06,2.25
193,2072,Killzone: Mercenary,PSV,2013.0,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0
194,14524,Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009.0,Action,Takara Tomy,0.0,0.0,0.03,0.0,0.03
195,13242,GrimGrimoire,PS2,2007.0,Strategy,Tecmo Koei,0.01,0.01,0.03,0.0,0.05
196,13680,Lionel Trains: On Track,DS,2006.0,Action,DSI Games,0.04,0.0,0.0,0.0,0.04
197,1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006.0,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71
198,15124,Test Drive Unlimited,PC,2007.0,Racing,Atari,0.0,0.02,0.0,0.0,0.02
199,10963,Transformers: Devastation,X360,2015.0,Action,Activision,0.06,0.02,0.0,0.01,0.09
200,6672,WipEout Fusion,PS2,2002.0,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25
202,3254,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.36,ï¿½0.20,0.0,0.06,0.62
205,7983,La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19
206,8417,Far East of Eden II: Manji Maru,PS2,2003.0,Role-Playing,Hudson Soft,0.0,ï¿½0.00,0.17,0.0,0.17
208,4631,MLB 08: The Show,PS2,2008.0,Sprots,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42
209,10562nd,Yaiba: Ninja Gaiden Z,PS3,Unknown,Action,Tecmo Koei,0.05,ï¿½0.04,0.0,0.02,0.1
210,11526,Sentimental Graffiti: First Window,SAT,1997.0,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
211,14687,Safari Adventures: Africa,DS,2008.0,Adventure,FACHOESFERA,0.03,ï¿½0.00,0.0,0.0,0.03
212,2549,Mega Man,NES,1987.0,Platform,GILIPROGRES,0.45,0.08,0.27,0.01,0.81
217,12832,NHL Legacy,X360,2015.0,Action,GILIPROGRES,0.05,0.0,0.0,0.01,0.05
218,431,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
219,15085,Prison Architect,PS4,2016.0,Action,Introversion Software,0.01,ï¿½0.01,0.0,0.0,0.02
221,1268,Disney Sing It: Pop Hits,Wii,2009.0,Misc,Disney Interactive Studios,1.08,ï¿½0.28,0.0,0.13,1.49
222,13547,Go Go Ackman 3,SNES,1995.0,Platform,Banpresto,0.0,0.0,0.04,0.0,0.04
223,9977th,Wipeout 2,PS3,2011.0,Misc,Activision,0.11,0.0,0.0,0.01,0.12
224,6593,All-Star Baseball 2003,XB,2002.0,Sprots,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26
226,680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,0.34,0.21,2.34
228,6275,Motocross Maniacs Advance,GBA,2002.0,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27
229,7057th,Cabela's Outdoor Adventures (2009),PS3,2009.0,Sprots,Activision Value,0.21,0.0,0.0,0.02,0.23
232,4222,Godzilla: Save the Earth,PS2,2004.0,Fighting,Atari,0.23,ï¿½0.18,0.0,0.06,0.47
235,6448,"Barbie: Jet, Set & Style!",Wii,2011.0,Misc,THQ,0.23,ï¿½0.01,0.0,0.02,0.26
237,7834,Farming Simulator 2015,XOne,2015.0,Simulation,Koch Media,0.1,0.07,0.0,0.02,0.19
238,7651,Pro Yaky? Spirits 2013,PS3,Unknown,Sprots,,5000.0,ï¿½0.00,0.2,0.0,9999.0
239,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sprots,Sega,2.58,ï¿½3.90,0.66,0.91,8.06
